,ilkid,year,firstname,lastname,team,leag,gp,minutes,pts,oreb,dreb,reb,asts,stl,blk,turnover,pf,fga,fgm,fta,ftm,tpa,tpm,count,gp_cumsum,avg_gp,minutes_cumsum,avg_minutes,pts_cumsum,avg_pts,oreb_cumsum,avg_oreb,dreb_cumsum,avg_dreb,reb_cumsum,avg_reb,asts_cumsum,avg_asts,stl_cumsum,avg_stl,blk_cumsum,avg_blk,turnover_cumsum,avg_turnover,pf_cumsum,avg_pf,fga_cumsum,avg_fga,fgm_cumsum,avg_fgm,fta_cumsum,avg_fta,ftm_cumsum,avg_ftm,tpa_cumsum,avg_tpa,tpm_cumsum,avg_tpm
14173,PEPLOMI01,1995,Mike,Peplowski,MIL,N,5,2.4,1.4,0.2,0.6,0.8,0.2,0.2,0.4,0.4,1.2,1.0,0.6,0.6,0.2,0.0,0.0,3,14,4.666666666666667,7.33,2.4433333333333334,2.4,0.7999999999999999,0.34,0.11333333333333334,1.03,0.3433333333333333,1.37,0.4566666666666667,0.34,0.11333333333333334,0.34,0.11333333333333334,0.69,0.22999999999999998,0.69,0.22999999999999998,4.63,1.5433333333333332,1.71,0.57,1.03,0.3433333333333333,1.03,0.3433333333333333,0.34,0.11333333333333334,0.0,0.0,0.0,0.0
14158,ONEASH01,1995,Shaquille,O'neal,ORL,N,54,36.04,26.56,3.37,7.67,11.04,2.87,0.63,2.13,2.87,3.57,19.13,10.96,9.46,4.61,0.04,0.02,1,54,54.0,36.04,36.04,26.56,26.56,3.37,3.37,7.67,7.67,11.04,11.04,2.87,2.87,0.63,0.63,2.13,2.13,2.87,2.87,3.57,3.57,19.13,19.13,10.96,10.96,9.46,9.46,4.61,4.61,0.04,0.04,0.02,0.02
14190,PORTETE01,1995,Terry,Porter,MIN,N,82,25.27,9.43,0.44,2.15,2.59,5.51,1.09,0.18,2.11,1.88,7.41,3.28,2.55,2.0,2.76,0.87,1,82,82.0,25.27,25.27,9.43,9.43,0.44,0.44,2.15,2.15,2.59,2.59,5.51,5.51,1.09,1.09,0.18,0.18,2.11,2.11,1.88,1.88,7.41,7.41,3.28,3.28,2.55,2.55,2.0,2.0,2.76,2.76,0.87,0.87
14192,PRICEMA01,1995,Mark,Price,WA1,N,7,18.14,8.0,0.14,0.86,1.0,2.57,0.86,0.0,1.29,1.0,8.57,2.57,1.43,1.43,4.29,1.43,1,7,7.0,18.14,18.14,8.0,8.0,0.14,0.14,0.86,0.86,1.0,1.0,2.57,2.57,0.86,0.86,0.0,0.0,1.29,1.29,1.0,1.0,8.57,8.57,2.57,2.57,1.43,1.43,1.43,1.43,4.29,4.29,1.43,1.43
14222,ROBINJA03,1995,James,Robinson,POR,N,76,21.41,8.54,0.58,1.49,2.07,1.97,0.45,0.21,1.46,1.92,7.55,3.01,1.78,1.17,3.74,1.34,1,76,76.0,21.41,21.41,8.54,8.54,0.58,0.58,1.49,1.49,2.07,2.07,1.97,1.97,0.45,0.45,0.21,0.21,1.46,1.46,1.92,1.92,7.55,7.55,3.01,3.01,1.78,1.78,1.17,1.17,3.74,3.74,1.34,1.34
14221,ROBINGL01,1995,Glenn,Robinson,MIL,N,82,39.62,20.24,1.66,4.49,6.15,3.57,1.16,0.51,3.44,2.88,16.85,7.65,4.74,3.85,3.21,1.1,1,82,82.0,39.62,39.62,20.24,20.24,1.66,1.66,4.49,4.49,6.15,6.15,3.57,3.57,1.16,1.16,0.51,0.51,3.44,3.44,2.88,2.88,16.85,16.85,7.65,7.65,4.74,4.74,3.85,3.85,3.21,3.21,1.1,1.1
14220,ROBINDA01,1995,David,Robinson,SAS,N,82,36.82,25.01,3.89,8.3,12.2,3.01,1.35,3.3,2.32,3.2,16.8,8.67,10.04,7.63,0.11,0.04,1,82,82.0,36.82,36.82,25.01,25.01,3.89,3.89,8.3,8.3,12.2,12.2,3.01,3.01,1.35,1.35,3.3,3.3,2.32,2.32,3.2,3.2,16.8,16.8,8.67,8.67,10.04,10.04,7.63,7.63,0.11,0.11,0.04,0.04
14219,ROBINCL02,1995,Clifford,Robinson,POR,N,78,38.21,21.08,1.58,4.1,5.68,2.44,1.1,0.87,2.49,3.18,16.74,7.09,6.95,4.62,6.04,2.28,1,78,78.0,38.21,38.21,21.08,21.08,1.58,1.58,4.1,4.1,5.68,5.68,2.44,2.44,1.1,1.1,0.87,0.87,2.49,2.49,3.18,3.18,16.74,16.74,7.09,7.09,6.95,6.95,4.62,4.62,6.04,6.04,2.28,2.28
14218,ROBERST01,1995,Stanley,Roberts,LAC,N,51,15.59,6.98,0.82,2.35,3.18,0.8,0.29,0.76,0.94,3.0,5.96,2.76,2.61,1.45,0.0,0.0,1,51,51.0,15.59,15.59,6.98,6.98,0.82,0.82,2.35,2.35,3.18,3.18,0.8,0.8,0.29,0.29,0.76,0.76,0.94,0.94,3.0,3.0,5.96,5.96,2.76,2.76,2.61,2.61,1.45,1.45,0.0,0.0,0.0,0.0
14217,ROBERFR01,1995,Fred,Roberts,LAL,N,33,9.61,3.7,0.55,0.88,1.42,0.79,0.48,0.12,0.73,0.73,2.94,1.45,0.85,0.67,0.42,0.12,1,33,33.0,9.61,9.61,3.7,3.7,0.55,0.55,0.88,0.88,1.42,1.42,0.79,0.79,0.48,0.48,0.12,0.12,0.73,0.73,0.73,0.73,2.94,2.94,1.45,1.45,0.85,0.85,0.67,0.67,0.42,0.42,0.12,0.12
